,RANK,PLAYER,YEAR,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
45,46,NormCash,1B,1961,DET,159,535,119,193,22,8,41,132,124,85,11,5,.361,.487,.662,1.149
46,47,TedWilliams,LF,1954,BOS,117,386,93,133,23,1,29,89,136,32,0,0,.345,.513,.635,1.148
47,48,TedWilliams,LF,1942,BOS,150,522,141,186,34,5,36,137,145,51,3,2,.356,.499,.648,1.147
48,49,BillJoyce,3B,1894,WAS,99,355,103,126,25,14,17,89,87,33,21,--,.355,.496,.648,1.144
49,49,SamThompson,X,1894,PHI,99,437,108,178,29,27,13,141,40,13,24,--,.407,.458,.686,1.144
50,51,TedWilliams,LF,1949,BOS,155,566,150,194,39,3,43,159,162,48,1,1,.343,.490,.650,1.140
51,52,RogersHornsby,2B,1929,CHC,156,602,156,229,47,8,39,149,87,65,2,--,.380,.459,.679,1.138
52,53,JasonGiambi,1B,2001,OAK,154,520,109,178,47,2,38,120,129,83,2,0,.342,.477,.660,1.137
53,54,BarryBonds,LF,1993,SF,159,539,129,181,38,4,46,123,126,79,29,12,.336,.458,.677,1.135
54,54,MickeyMantle,CF,1961,NYY,153,514,132,163,16,6,54,128,126,112,12,1,.317,.448,.687,1.135
55,56,CarlosDelgado,1B,2000,TOR,162,569,115,196,57,1,41,137,123,104,0,1,.344,.470,.664,1.134
56,57,TedWilliams,LF,1947,BOS,156,528,125,181,40,9,32,114,162,47,0,1,.343,.499,.634,1.133
57,57,BabeHerman,RF,1930,BRO,153,614,143,241,48,11,35,130,66,56,18,--,.393,.455,.678,1.133
58,59,AlSimmons,LF,1930,PHA,138,554,152,211,41,16,36,165,39,34,9,2,.381,.423,.708,1.131
59,60,RogersHornsby,2B,1928,BSN,140,486,99,188,42,7,21,94,107,41,5,--,.387,.498,.632,1.130
60,61,BarryBonds,LF,2000,SF,143,480,129,147,28,4,49,106,117,77,11,3,.306,.440,.688,1.128
61,62,BabeRuth,RF,1929,NYY,135,499,121,172,26,6,46,154,72,60,5,3,.345,.430,.697,1.127
62,63,JasonGiambi,1B,2000,OAK,152,510,108,170,29,1,43,137,137,96,2,0,.333,.476,.647,1.123
63,63,ChuckKlein,RF,1930,PHI,156,648,158,250,59,8,40,170,54,50,4,--,.386,.436,.687,1.123
64,65,JimThome,1B,2002,CLE,147,480,101,146,19,2,52,118,122,139,1,2,.304,.445,.677,1.122
65,66,MarkMcGwire,1B,1999,STL,153,521,118,145,21,1,65,147,133,141,0,0,.278,.424,.697,1.121
66,66,HankGreenberg,1B,1938,DET,155,556,144,175,23,4,58,146,119,92,7,5,.315,.438,.683,1.121
67,68,JoeDiMaggio,CF,1939,NYY,120,462,108,176,32,6,30,126,52,20,3,0,.381,.448,.671,1.119
68,69,GeorgeBrett,3B,1980,KC,117,449,87,175,33,9,24,118,58,22,15,6,.390,.454,.664,1.118
69,70,LuisGonzalez,LF,2001,AZ,162,609,128,198,36,7,57,142,100,83,1,1,.325,.429,.688,1.117
70,70,ToddHelton,1B,2001,COL,159,587,132,197,54,2,49,146,98,104,7,5,.336,.432,.685,1.117
